text,intent
Привет как дела,greeting
Здравствуйте рад вас видеть,greeting
Доброе утро,greeting
Хай давно не виделись,greeting
Здарова как жизнь,greeting
Добрый вечер чем занимаешься,greeting
Салют есть новости,greeting
Здравствуйте извините за беспокойство,greeting
Приветик ты тут,greeting
Йо братан как оно,greeting
Доброго времени суток коллеги,greeting
Хэллоу можно вопрос,greeting
Приветствую начальник,greeting
Здрасте я по делу,greeting
О привет а я тебя ищу,greeting
Добрый день подскажите пожалуйста,greeting
Хай хай как настроение,greeting
Здорово что ты онлайн,greeting
Привет привет не ожидал тебя тут увидеть,greeting
Здравствуйте соедините меня с отделом продаж,greeting
Салам алейкум мир вашему дому,greeting
Доброе утро кофе будешь,greeting
Вечер в хату как дела,greeting
Привет это снова я,greeting
Здравствуйте я по записи,greeting
Хай есть минутка поговорить,greeting
Дратути как сам,greeting
Привет я вернулся,greeting
Здравствуйте меня зовут Алексей,greeting
О это ты привет,greeting
Доброго здоровья бабушка,greeting
Приветствую всех участников чата,greeting
Здарова заходи в гости,greeting
Хеллоу это Джон из службы поддержки,greeting
Добрый день вы мне звонили,greeting
Привет как самочувствие,greeting
Здравствуйте я хочу сделать заказ,greeting
Салют погнали играть,greeting
Хай соскучился,greeting
Привет прием слышно меня,greeting
Пока до свидания,farewell
До встречи,farewell
Удачи,farewell
Всего хорошего,farewell
Давай прощай,farewell
Счастливо,farewell
До завтра,farewell
Покеда,farewell
Бывай,farewell
До скорого,farewell
Увидимся позже,farewall
Всего доброго,farewell
Спокойной ночи,farewell
Ладно я пошел пока,farewell
До связи,farewell
Чао,farewell
Аривидерчи,farewell
Пока пока,farewell
Прощайте,farewell
Разрешите откланяться,farewell
Ну всё отключаюсь,farewell
До вечера,farewell
Счастливого пути,farewell
Будь здоров,farewell
Хорошего дня,farewell
Ну давай не болей,farewell
Удачи тебе во всем,farewell
Всем пока я выхожу,farewell
До скорой встречи,farewell
Еще увидимся,farewell
Гуд бай,farewell
Отключаюсь всем спасибо за внимание,farewell
Пока удачной охоты,farewell
До завтра на работе,farewell
Ну всё отбой,farewell
Ладно погнал пока,farewell
До связи хорошего вечера,farewall
Салют пока,farewell
До свидания спасибо за помощь,farewell
Пока не скучай,farewell
Чао какао,farewell
Как погода на улице,weather
Скажи прогноз погоды на завтра,weather
Что там за окном,weather
Будет ли дождь сегодня вечером,weather
Какая температура в Москве,weather
Погода на неделю,weather
На улице холодно одеваться тепло,weather
Есть ли ветер,weather
Прогноз на выходные,weather
Сколько градусов сейчас,weather
Пойдет снег,weather
Какая погода будет через час,weather
Надо брать зонт,weather
Синоптики что говорят,weather
Погода в Питере сегодня,weather
Жарко ли там,weather
Будет ли гроза,weather
Какое сейчас атмосферное давление,weather
Узнай погоду пожалуйста,weather
Солнечно или пасмурно,weather
Какая влажность воздуха,weather
Тепло ли на юге,weather
Что обещают синоптики на завтра,weather
Погода на сегодня подробно,weather
Будет ли гололед,weather
Когда закончится дождь,weather
Стоит ли ждать ураган,weather
Какая погода в Европе сейчас,weather
Морозно ли сегодня утром,weather
Погода в моем городе,weather
Покажи карту осадков,weather
Есть ли дождь,weather
Высокий ли ультрафиолетовый индекс,weather
Снег растаял,weather
Туман сильный,weather
Град будет,weather
Температура воды в море,weather
Прогноз для рыбаков,weather
Магнитные бури сегодня,weather
text,intent
какая сейчас погода,weather_city_only
завтра пары,schedule
покажи статистику?,stats
казань температура,weather
мое имя сергей,set_name
счастливо оставаться,farewell
я александр,set_name
приветик как жизнь,greeting
я алексей а ты,set_name
активность,stats
завтра учиться!,schedule
добрый день бот,greeting
погода москва,weather
что с погодой в москве,weather
мои запросы к боту,stats
найду ли я любовь,yes_no
сколько раз я обращался,stats
учиться ли дальше,yes_no
увидимся,farewell
информация обо мне,stats
подскажи,help
статистика моих сообщений,stats
стоит ли ждать,yes_no
скажи погоду,weather_city_only
моя статистика?,stats
представьтесь как сергей,set_name
здорово,greeting
меня зовут александр,set_name
стоит ли инвестировать,yes_no
хей привет,greeting
холодно в москве,weather
стоит ли начинать,yes_no
завтра идти на пары?,schedule
мои сообщения,stats
ростов-на-дону погода,weather
погода сейчас,weather_city_only
что такое днк,unknown
прогноз погоды,weather_city_only
будет ли встреча,yes_no
температура в санкт-петербурге,weather
пока,farewell
здрасьте,greeting
привет,greeting
что будет завтра,unknown
называйте меня таней,set_name
учиться ли завтра,schedule
самара погода,weather
завтра идти на пары!,schedule
лучший фильм,unknown
какая температура на улице,weather_city_only
узнай погоду,weather_city_only
примут ли меня на работу,yes_no
как тебя использовать,help
погода в санкт-петербурге сегодня,weather
что я спрашивал,stats
есть ли жизнь на марсе,unknown
помоги,help
как похудеть,unknown
сбудутся ли мечты,yes_no
список команд,help
до скорого,farewell
что такое нейросети,unknown
почему люди спят,unknown
моя статистика,stats
температура сейчас,weather_city_only
меня повысят на работе,yes_no
какая погода в москве,weather
до скорой встречи,farewell
мои действия,stats
как работает мозг,unknown
на улице как,weather_city_only
мои данные покажи,stats
завтра есть пары,schedule
будет ли завтра дождь,yes_no
как найти друзей,unknown
владивосток погода,weather
успею ли я сделать проект,yes_no
мое имя дмитрий,set_name
погодка как,weather_city_only
что посмотреть,unknown
good morning,greeting
надо ли идти на пары,schedule
хеллоу,greeting
как сделать сайт,unknown
сколько сообщений я отправил,stats
свидимся,farewell
будет ли тепло,yes_no
смысл жизни,unknown
завтра учиться?,schedule
можно просто миша,set_name
good evening,greeting
будет ли завтра солнце,yes_no
добрый день господа,greeting
привет бот,greeting
до свидания,farewell
какая погода в алматы,weather
покажи погоду,weather_city_only
будут ли уроки завтра,schedule
завтра в школу,schedule
доброго здоровья,greeting
меня зовут михаил,set_name
меня звать алексей,set_name
расскажи о погоде,weather_city_only
что такое счастье,unknown
стоит ли надеяться,yes_no
вернется ли он,yes_no
погода в москве сегодня,weather
температура за окном,weather_city_only
какая температура в киеве,weather
выиграю ли я,yes_no
завтра идти в институт,schedule
hi,greeting
идти на учебу,schedule
что такое время,unknown
какая сегодня температура,weather_city_only
ну что там с погодой,weather_city_only
hey,greeting
расскажи о своих возможностях,help
я анна,set_name
привет дружище,greeting
ну пока,farewell
я екатерина,set_name
как ты можешь помочь,help
зовут меня ольга,set_name
где находится эрмитаж,unknown
здрасте,greeting
команды,help
что ты можешь,help
я татьяна,set_name
стоит ли брать кредит,yes_no
что ты можешь сделать,help
рим сколько градусов,weather
помогите,help
эй здравствуй,greeting
температура воздуха,weather_city_only
есть ли пары завтра,schedule
мои показатели,stats
счастливо,farewell
прогноз на сегодня,weather_city_only
позвонят ли мне,yes_no
я алексей,set_name
что с погодой,weather_city_only
почему мы мечтаем,unknown
здравствуйте пожалуйста,greeting
зовите меня мария,set_name
я мария,set_name
статистика,stats
помоги разобраться,help
привееет,greeting
бывайте,farewell
завтра идти на учебу или нет,schedule
есть ли занятия завтра,schedule
меня зовут мария,set_name
прощай,farewell
температура в москве,weather
good afternoon,greeting
погода сегодня,weather_city_only
пока пока,farewell
что ты умеешь,help
удачи,farewell
екатеринбург погода,weather
помощь,help
мадрид погода сегодня,weather
покеда,farewell
температура на сегодня,weather_city_only
пойдет ли снег,yes_no
получу ли я ответ,yes_no
нужна помощь,help
какая погода в лондоне,weather
что на улице,weather_city_only
справка,help
сколько будет 2+2,unknown
статистика!,stats
все пока,farewell
сколько раз я писал,stats
привет!!,greeting
лучшая книга,unknown
сколько сегодня градусов,weather_city_only
возможности,help
какие есть команды,help
как работать,help
будет ли успех,yes_no
мое почтение,greeting
что я могу спросить,help
всем привет,greeting
пары завтра будут,schedule
будут ли отношения,yes_no
прощаюсь с вами,farewell
что такое машинное обучение,unknown
есть ли завтра учеба,schedule
менять ли работу,yes_no
приветствую,greeting
сколько градусов за окном,weather_city_only
что ты умеешь бот,help
прощай бот,farewell
холодно или тепло,weather_city_only
будут ли пары завтра!,schedule
пока пока бот,farewell
меня зовут татьяна,set_name
завтра занятия будут,schedule
что там с погодой,weather_city_only
ну здарова,greeting
завтра занятия,schedule
будут занятия завтра,schedule
увидимся позже,farewell
учиться завтра,schedule
моя статистика!,stats
расскажи про космос,unknown
ждут ли меня перемены,yes_no
здравствуйте,greeting
мои данные,stats
есть ли пары завтра!,schedule
как выучить python,unknown
отчет по мне,stats
меня зовут ольга,set_name
здравствуйте!!!,greeting
сколько звезд на небе,unknown
завтра в универ,schedule
завтра на учебу,schedule
давай,farewell
я ольга,set_name
погода на сегодня,weather_city_only
сдам ли я зачет,yes_no
я александр,set_name
какие команды,help
как стать богатым,unknown
моя история,stats
идти ли завтра на учебу,schedule
как программировать,unknown
меня зовут анна,set_name
как выучить английский,unknown
функции бота,help
будут ли пары,schedule
покажи мои данные,stats
сколько градусов в киеве,weather
как доехать до центра,unknown
что я делал,stats
погода какая,weather_city_only
