text,intent
стоит ли брать зонт,weather_city_only
ветрено на улице,weather
погода какая,weather_city_only
нужен ли зонт,yes_no
увидимся позже,farewell
Пока не скучай,farewell
мои запросы к боту,stats
До свидания спасибо за помощь,farewell
Погода на неделю,weather
погодка как,weather_city_only
Салют есть новости,greeting
расскажи шутку,unknown
ветер дует,weather_city_only
До завтра на работе,farewell
до скорой встречи,farewell
прогноз погоды,weather_city_only
как погода в сочи,weather
Аривидерчи,farewell
всего доброго,farewell
ветер какой,weather_city_only
Отключаюсь всем спасибо за внимание,farewell
стоит ли начинать,yes_no
привет бот,greeting
погода в новосибирске,weather
good evening,greeting
Доброе утро,greeting
Магнитные бури сегодня,weather
всего хорошего,farewell
Доброго времени суток коллеги,greeting
возможности,help
Салют пока,farewell
что ты можешь,help
Чао какао,farewell
Есть ли ветер,weather
гроза ожидается,weather
калининград градусы,weather
что я могу спросить,help
до завтра бот,farewell
погода на завтра,weather_city_only
покажи мою статистику,stats
погода сейчас,weather_city_only
скорость ветра какая,weather
информация обо мне,stats
как найти друзей,unknown
какая погода будет,weather_city_only
статистика?,stats
что там с погодой,weather_city_only
пока,farewell
ну пока,farewell
меня зовут дмитрий,set_name
Доброго здоровья бабушка,greeting
сколько градусов,weather_city_only
Будет ли дождь сегодня вечером,weather
Ну всё отбой,farewell
помогите,help
температура сейчас,weather_city_only
Йо братан как оно,greeting
температура в нижнем новгороде,weather
снег пойдет,weather
влажность какая,weather_city_only
команды,help
меня зовут михаил,set_name
токио погода,weather
уфа температура,weather
привет дружище,greeting
как учить python,unknown
Какая погода будет через час,weather
будет ли успех,yes_no
сколько я написал,stats
меня зовут екатерина,set_name
погода в минске,weather
Как погода на улице,weather
счастливо,farewell
иркутск погода сегодня,weather
добрый день господа,greeting
Еще увидимся,farewell
позвонят ли мне,yes_no
Хорошего дня,farewell
мое имя дмитрий,set_name
Что обещают синоптики на завтра,weather
стоит ли брать кредит,yes_no
что там на улице,weather_city_only
Хеллоу это Джон из службы поддержки,greeting
твои возможности,help
стоит ли ждать,yes_no
Привет как дела,greeting
Хэллоу можно вопрос,greeting
помоги разобраться,help
Вечер в хату как дела,greeting
что я спрашивал ранее,stats
список команд,help
Пойдет снег,weather
Когда закончится дождь,weather
я сергей,set_name
завтра идти на учебу или нет,schedule
погода,weather_city_only
покажи статистику!,stats
покажи статистику,stats
Привет привет не ожидал тебя тут увидеть,greeting
статистика!,stats
холодно в москве,weather
Добрый день подскажите пожалуйста,greeting
прохладно на улице,weather
Привет прием слышно меня,greeting
солнечно будет,weather
есть ли жизнь на марсе,unknown
До завтра,farewell
Погода в Питере сегодня,weather
есть ли пары завтра!,schedule
сколько звезд на небе,unknown
какая погода в москве,weather
завтра идти в институт,schedule
что такое любовь,unknown
до завтра,farewell
что с погодой в питере,weather
покажи мою активность,stats
как работает нейросеть,unknown
есть ли завтра учеба,schedule
всем привет,greeting
погода сегодня,weather_city_only
завтра занятия,schedule
что ты умеешь бот,help
где купить квартиру,unknown
что такое время,unknown
будет дождь или снег,weather
Гуд бай,farewell
тепло или холодно,weather
моя статистика!,stats
до встречи,farewell
прощайте,farewell
что с погодой в москве,weather
какая температура на улице,weather_city_only
я александр,set_name
сколько градусов в алматы,weather
помощь бот,help
переезжать ли,yes_no
hey,greeting
нужно ли идти на пары завтра,schedule
будут ли пары завтра,schedule
сколько градусов тепла,weather
подскажите,help
будет ли тепло,yes_no
дождь будет,weather_city_only
Здравствуйте соедините меня с отделом продаж,greeting
мы встретимся завтра,yes_no
Пока пока,farewell
расскажи о погоде,weather_city_only
прощай,farewell
инструкция,help
когда перестанет идти дождь,weather
сбудутся ли мечты,yes_no
Хай есть минутка поговорить,greeting
мадрид погода сегодня,weather
Удачи,farewell
что я делал,stats
рим сколько градусов,weather
будут ли пары,schedule
мороз на улице,weather_city_only
что такое днк,unknown
я алексей а ты,set_name
удачи,farewell
стоит ли менять работу,yes_no
Приветствую всех участников чата,greeting
Туман сильный,weather
почему люди спят,unknown
что ты можешь сделать,help
что я спрашивал,stats
Прощайте,farewell
расскажи о своих возможностях,help
Здравствуйте я по записи,greeting
Здорово что ты онлайн,greeting
прощаюсь с вами,farewell
Всем пока я выхожу,farewell
hi,greeting
екатеринбург погода,weather
как работать,help
пекин температура,weather
Жарко ли там,weather
я дмитрий,set_name
погодка в новосибирске,weather
Привет это снова я,greeting
учиться завтра,schedule
сколько будет 2+2,unknown
послезавтра погода,weather
Добрый вечер чем занимаешься,greeting
Прогноз для рыбаков,weather
Счастливо,farewell
будет ли завтра солнце,yes_no
завтра в универ,schedule
Хай хай как настроение,greeting
Бывай,farewell
завтра учиться,schedule
Хай давно не виделись,greeting
пока пока,farewell
сколько градусов за окном,weather_city_only
До вечера,farewell
облачно или нет,weather_city_only
Есть ли дождь,weather
доброе утро,greeting
все пока,farewell
О это ты привет,greeting
температура за окном,weather_city_only
поездка удастся,yes_no
Дратути как сам,greeting
Здравствуйте извините за беспокойство,greeting
моя статистика,stats
облачность какая,weather
Погода в моем городе,weather
Салют погнали играть,greeting
температура в санкт-петербурге,weather
какая погодка,weather_city_only
какая сейчас погода,weather_city_only
Град будет,weather
давай до встречи,farewell
свидимся,farewell
как похудеть,unknown
функции бота,help
стоит ли надеяться,yes_no
здорово,greeting
успею ли я сделать проект,yes_no
всего доброго бот,farewell
hello,greeting
какие есть команды,help
расскажи что ты умеешь,help
как заработать деньги,unknown
краснодар погодка,weather
скажи погоду,weather_city_only
сколько градусов в минске,weather
До скорой встречи,farewell
моя активность,stats
выиграю ли я,yes_no
узнай погоду,weather_city_only
на улице как,weather_city_only
здравствуйте пожалуйста,greeting
сильные ли осадки,weather
что на улице,weather_city_only
владивосток погода,weather
Что там за окном,weather
Покажи карту осадков,weather
покеда,farewell
меня зовут александр,set_name
Синоптики что говорят,weather
ростов-на-дону погода,weather
сильный ветер сегодня,weather
хорошего дня,farewell
температура в москве,weather
покажи что ты умеешь,help
Какая температура в Москве,weather
Будет ли гололед,weather
завтра идти на пары!,schedule
учиться ли завтра,schedule
надо ли идти на пары,schedule
меня зовут татьяна,set_name
Ладно погнал пока,farewell
какая температура сейчас,weather_city_only
снег ожидается,weather_city_only
осадки какие,weather_city_only
завтра пары,schedule
прощай бот,farewell
меня зовут ольга,set_name
как стать программистом,unknown
до связи,farewell
получу ли я ответ,yes_no
солнце есть,weather_city_only
хабаровск температура,weather
какой ветер в питере,weather
будут ли отношения,yes_no
Здравствуйте я хочу сделать заказ,greeting
статистика моих сообщений,stats
есть ли пары завтра,schedule
что с погодой в екатеринбурге,weather
Ну всё отключаюсь,farewell
Высокий ли ультрафиолетовый индекс,weather
погода в париже,weather
как доехать до центра,unknown
зовите меня мария,set_name
наталья я,set_name
завтра идти на пары?,schedule
привееет,greeting
здравствуйте я к вам,greeting
Хай соскучился,greeting
что умеешь делать,help
good morning,greeting
какая погода в лондоне,weather
стоит ли инвестировать,yes_no
я наталья,set_name
хей привет,greeting
какие команды,help
расскажи про космос,unknown
счастливо оставаться,farewell
минск температура,weather
Какое сейчас атмосферное давление,weather
представьтесь как сергей,set_name
я екатерина,set_name
удачи бот,farewell
Узнай погоду пожалуйста,weather
что такое блокчейн,unknown
привет!!,greeting
амстердам температура,weather
мое имя сергей,set_name
меня повысят на работе,yes_no
сколько сообщений я отправил,stats
я татьяна,set_name
сдам ли я зачет,yes_no
ну все пока,farewell
hi there,greeting
здравствуйте!!!,greeting
привет как дела,greeting
отчет по мне,stats
приветик как жизнь,greeting
завтра на учебу,schedule
вернется ли он,yes_no
давай пока,farewell
меня звать алексей,set_name
добрый день бот,greeting
какие осадки ожидаются,weather
на завтра что обещают,weather
я иван,set_name
в чем твоя помощь,help
будут занятия завтра,schedule
кто такой пушкин,unknown
как пользоваться,help
лучшая книга,unknown
какая температура,weather_city_only
буду ли я богат,yes_no
я ольга,set_name
Снег растаял,weather
что такое нейросети,unknown
как стать богатым,unknown
какая погода,weather_city_only
есть ли пары завтра?,schedule
будут ли пары завтра!,schedule
мои сообщения,stats
купить ли машину,yes_no
ну что там с погодой,weather_city_only
